,Name,ID,Latitude,Longitude,Rating,Types,Vicinity
376,Panergy,ChIJC-m9XEQbFgcR3ivDm409INo,-12.9949291,-38.4709155,0,gas_station,"Rua Rubens Guelli, 134 - Itaigara, Salvador"
377,Posto Namorado,ChIJI9LCMvIaFgcRmurN7rAWrzU,-13.0005192,-38.4594629,3.9,gas_station,"Av. Acm - Cabula, Salvador"
379,Posto BR,ChIJq0xcbaAcFgcRGpglYZcyMDE,-13.0102588,-38.4652768,3.5,gas_station,"Av. Octávio Mangabeira, 49 - Pituba, Salvador"
385,Auto Posto Camurupim,ChIJrdnmZ6AcFgcRTcgDVAL9JZ0,-13.0102405,-38.4651548,3.8,gas_station,"Av. Octávio Mangabeira, 429 - Pituba, Salvador"
389,Select,ChIJbwg_oA4bFgcRFLWa00CjWaw,-12.9886978,-38.4494395,4,convenience_store,"Costa Azul, Salvador"
390,Posto Shell,ChIJp7hynA4bFgcRgFNuhv_DcqQ,-12.9888053,-38.4493604,3.8,gas_station,"Av. Prof. Magalhães Neto, 594 - Pituba, Salvador"
435,Loja Shell Select - POSTO SHELL - POSTO DE COMB ITAJAI LTDA,ChIJEaxhInEbFgcRK7fVTNsUtQ0,-12.988814,-38.449458,3.5,gas_station,"Av. Prof. Magalhães Neto, 1304 - GLEBA 20, Salvador"
514,Sindicombustivel,ChIJm8MBoDUbFgcRb0sipucTOBk,-12.9970973,-38.4446483,5,gas_station,"Costa Azul, Salvador"
518,Loja Shell Select - POSTO SHELL - SRB REV DE COMB E LUBRIF LTDA,ChIJfbcoH30bFgcREWEsHr3VGrs,-12.9868679,-38.4481996,4.4,gas_station,"AV, Rua Arthur de Azevêdo Machado, 1443 - TERR, Salvador"
520,Posto Petrobras,ChIJC425RnEbFgcRDqY7ck9wgsk,-12.9846269,-38.4346882,0,gas_station,"Av. Octávio Mangabeira, 5030 - Armação, Salvador"
523,Shell Select,ChIJQ7C2i1YbFgcReZER29vj47g,-12.9967912,-38.4438644,3.8,gas_station,"Av. Octávio Mangabeira, 3251 - Costa Azul, Salvador"
525,Shell Select,ChIJCw-kBvQbFgcRXbRozCu9eVU,-12.9883264,-38.4707594,4.2,gas_station,"Av. Antônio Carlos Magalhães, 2749 - Parque Bela Vista, Salvador"
527,Posto BR - Armação,ChIJ1Qfw0jUaFgcR13DWqGkAJks,-12.9849968,-38.4347865,4,gas_station,"Avenida Otávio Mangabeira, s/n - Armação, Salvador"
528,Posto Shell,ChIJP2c7bwkbFgcR2VXQ2uc_uFs,-12.9884722,-38.4468105,3.9,gas_station,"R. Dr. Augusto Lopes Pontes, 167 - Costa Azul, Salvador"
529,Lava jato do Fábio,ChIJ89RI6fwbFgcRaHDsSeQvf0U,-12.9902533,-38.4455577,0,gas_station,"R. Des. Manoel Pereira, 105 - Costa Azul, Salvador"
533,POSTO KALILANDIA LTDA,ChIJOYNrtjMbFgcR9PmfP1V-JQk,-12.9968373,-38.4437886,4,gas_station,"Av. Octávio Mangabeira, SN - Jaguaribe, Salvador"
538,Posto Shell,ChIJibQ26zgbFgcR-ACA0cJeMPI,-12.98855,-38.4706176,4.2,gas_station,"Av. Antônio Carlos Magalhães, 2749 - Parque Bela Vista, Salvador"
541,Posto Coopmetro,ChIJW8OdPK8bFgcRwHDV2xyLPwM,-12.9845111,-38.4366748,4.3,gas_station,"R. Antônio da Silva Coelho, 44 - Boca do Rio, Salvador"
542,Posto Vela Branca Petrobras,ChIJx89RyqgbFgcR3wQTcMsizBI,-12.9845898,-38.4377302,4.1,gas_station,"Av. Simon Bolívar, s/n - Armação, Salvador"
545,Hiper Posto- Rede Mataripe,ChIJI9LCMvIaFgcRhiF9h8SMUPA,-12.9883406,-38.4674156,4,gas_station,"Av. Antônio Carlos Magalhães, 3174 - Itaigara, Salvador"
546,Posto Petrobras,ChIJbdWMYQcbFgcR6E3Z8Gxsje4,-12.9818,-38.44301,3.9,gas_station,"Avenida Arnaldo Lopes da Silva, 736 - Stiep, Salvador"
547,Posto Petrobras,ChIJxW51swUbFgcRX6W1W2-nmC4,-12.9816497,-38.4499405,4.3,gas_station,"R. Edístio Pondé, 474 - Stiep, Salvador"
581,Posto Petrobras,ChIJ1VTnJzwbFgcRcI7zF4d70t8,-12.9883536,-38.4673665,3.8,gas_station,"Av. Antônio Carlos Magalhães, 4451 - Brotas, Salvador"
584,Posto Flamingo,ChIJofS2NUQbFgcRi5wO0BGWa30,-12.9816915,-38.4430312,4.5,gas_station,"Av. Prof. Manoel Ribeiro, 861 - Stiep, Salvador"
