,Name,ID,Latitude,Longitude,Rating,Types,Vicinity
239,"Posto Ipiranga, Antigo P4",ChIJzQfpuh4QFgcRXIlkEnsEcrM,-12.9161475,-38.480493,4.0,gas_station,"Av. Afrânio Peixoto, 3164 - Lobato, Salvador"
255,Loja Shell Select - POSTO SHELL - ENTREPOSTO COMERCIAL DE AMARALINA L,ChIJwfAsZhMdFgcRzqS5cKPGVgQ,-13.013062,-38.4743486,0.0,gas_station,"Av. Amaralina, 441 - Amaralina, Salvador"
257,Posto Petrobras,ChIJcX7k4hsDFgcR4LEYDKbLkVI,-13.0083454,-38.5265642,0.0,gas_station,"R. Miguel Burnier, 01 - Barra, Salvador"
274,RANK PITUBA shell (PFOS),ChIJK7LWx3obFgcRxs8CvhyIGyE,-13.0046806,-38.4538754,3.9,gas_station,"Av. Octávio Mangabeira, 1283 - Pituba, Salvador"
276,Stations Network Cheapest,ChIJu2nQcF8DFgcRZO1X96EoGu4,-13.0039785,-38.5031124,3.9,gas_station,"Av. Anita Garibaldi, 1746 - Ondina, Salvador"
277,Desk Mataripe 5 - Petrobras,ChIJwbVp8SIbFgcR6dAN_Iis5IM,-12.979167,-38.4657116,3.9,gas_station,"Av. Antônio Carlos Magalhães, 4222 - Pernambués, Salvador"
278,Posto Real,ChIJtexGOLsaFgcRzXWHoW4tNwk,-12.9429288,-38.4706449,5.0,gas_station,"Av. Barros Reis, 3132 - Retiro, Salvador"
280,Posto Ipiranga,ChIJOZWYIwQbFgcRaHJ1QsfLRCA,-12.9801747,-38.4488855,4.1,gas_station,"Av. Prof. Manoel Ribeiro, 1570 - Stiep, Salvador"
281,Posto Ipiranga,ChIJ0XwvTEYFFgcROPpQfcpw_No,-12.9448464,-38.4973322,3.9,gas_station,"R. Nilo Peçanha, 113 - Calçada, Salvador"
282,Menor Preço,ChIJ3dMYtbUaFgcR2UxMq-STvIY,-12.9476472,-38.4810746,3.9,gas_station,"Av. Gen. San Martin, S/N - Santa Monica, Salvador"
283,Loja Shell Select - POSTO SHELL - POSTO CASAGRANDE LTDA,ChIJU3y6l0gFFgcRA5LOJh6pl8U,-12.9785527,-38.4997116,4.2,gas_station,"R. Frederico Costa, 07 - Nazaré, Salvador"
285,Posto Shell - SRB REVENDEDORA DE COMB E LUBS LTD,ChIJqRgr-pcbFgcRZr97DMazk20,-12.9548683,-38.4748774,4.0,gas_station,"Av. Barros Reis, 636 - Amaralina, Salvador"
287,D+,ChIJBxmWLrgaFgcRRcwxyijzk88,-12.9491344,-38.474066,5.0,gas_station,"R. Jaqueira do Carneiro, 32 - Fazenda Grande do Retiro, Salvador"
288,Posto Barbalho,ChIJOfGDJN8EFgcR4K73Sr_ySLw,-12.9674065,-38.5019807,4.2,gas_station,"Ladeira do Arco, 88 - Barbalho, Salvador"
289,Loja Shell Select - POSTO SHELL - SRB REVENDEDORA DE COMB E LUBS LTD,ChIJg-cbK3wbFgcRdm3FsZhK2I4,-12.95868,-38.477179,0.0,gas_station,"Av. Barros Reis, 1223 - Iapi, Salvador"
290,Brasilgás,ChIJJehDGHwFFgcRiXUr5-5zY30,-12.9930026,-38.4937009,5.0,gas_station,"Rua Padre Eloy - Acupe de Brotas, Salvador"
291,Stations Network Cheapest,ChIJZzy3NqUEFgcRiLb9y1pxID4,-12.9951369,-38.4971757,3.9,gas_station,"Av. Vasco da Gama, 237 - Federação, Salvador"
292,P4 Combustíveis,ChIJK50Sw0YFFgcRCehHYQ_2NIs,-12.9436329,-38.49968459999999,4.3,gas_station,"Calçada, Salvador"
293,Br,ChIJoX3dhDMbFgcRbwSPnzxB8AA,-12.9827813,-38.4819735,3.7,gas_station,"Av. Mario Leal Ferreira - Brotas, Salvador"
294,Posto Shell - Gr Revend De Comb E Lubrif Ltda Me,ChIJXwmgKLYaFgcRUgWFC8WRUPU,-12.9515868,-38.4771893,4.1,gas_station,"Av. Gen. San Martin, 95 - Iapi, Salvador"
295,Ecoposto Albatroz,ChIJpZ45UFEFFgcR64oNKcf7sek,-12.9361297,-38.4916652,4.1,gas_station,"av Afrânio Peixoto - s/n, Salvador"
296,Posto Shell - Auto Posto Budiao Ltda,ChIJP2c7bwkbFgcR2VXQ2uc_uFs,-12.9884722,-38.4468105,3.9,gas_station,"R. Dr. Augusto Lopes Pontes, 167 - Costa Azul, Salvador"
297,Loja Shell Select - POSTO SHELL - AS BENEDITAS COM DE ALIMENTOS LTDA,ChIJv501PrwbFgcRrrF4F-bIGQ0,-13.0046786,-38.4822513,3.0,gas_station,"P SHELL - R. Mundo Novo, 1428 - Rio Vermelho, Salvador"
298,Posto Shell - Pituba Derivados De Petroleo Ltda,ChIJ7fc81mQbFgcRrGIJTh09Aew,-13.0047014,-38.45385700000001,3.8,gas_station,"Av. Octávio Mangabeira, 1283 - Pituba, Salvador"
299,Loja Shell Select - POSTO SHELL - GRL ORGANIZACAO REV COMBS LUBS LTDA,ChIJZ_j6yzwbFgcR77cP5ZLG3jk,-12.954982,-38.47514,4.6,gas_station,"Av. Barros Reis, 3132 - Iapi, Salvador"
306,Posto Petrobras,ChIJbdWMYQcbFgcR6E3Z8Gxsje4,-12.9818,-38.44301,3.8,gas_station,"Avenida Arnaldo Lopes da Silva, 736 - Stiep, Salvador"
307,Posto Petrobras,ChIJs_jaROAEFgcR-LOVKpr_ACs,-12.9661006,-38.5078261,3.7,gas_station,"Av. Jequitaia, 50 - Comercio, Salvador"
332,Loja Shell Select - POSTO SHELL - AUTO P CENTENARIO COM COMB SER LTDA,ChIJkwrbqnIFFgcRLDF2y4D4IH4,-13.0004852,-38.5170717,4.0,gas_station,"Av. Centenário, 328 - Chame-Chame, Salvador"
341,Petrobras,ChIJ__-bcIAEFgcROSWWirezo8I,-12.99707,-38.52653,0.0,gas_station,"R. da Graça, 120 - Graça, Salvador"
344,Posto Independência (Ipiranga),ChIJl_Yc1-sEFgcR43xIDZZe_FI,-12.9786888,-38.5093296,4.1,gas_station,"Ladeira da Independência, 30 - Nazaré, Salvador"
348,Posto Shell,ChIJp7hynA4bFgcRgFNuhv_DcqQ,-12.9888053,-38.4493604,3.8,gas_station,"Av. Prof. Magalhães Neto, 594 - Pituba, Salvador"
351,Posto Petrobras,ChIJuyeAe4AEFgcRFbzO9odewwg,-12.99654,-38.52706,4.6,gas_station,"R. da Graça, 06 - Graça, Salvador"
356,Posto Petrobras,ChIJe2bd5dMFFgcR2-O9lh6J964,-12.9763627,-38.5160737,0.0,gas_station,"Av. Lafayete Coutinho, 03 - Comercio, Salvador"
359,Posto Ipiranga,ChIJjS8D3-wzb5MRFbLy3DdQHfs,-12.9622325,-38.4903607,4.4,gas_station,"R. Rodrigo de Menezes, s/n - Baixa de Quintas, Salvador"
432,POSTO DE COMBUSTÍVEIS SHEL,ChIJXfe8Ju8FFgcR5xH8qwadvR4,-12.9300495,-38.50418579999999,5.0,gas_station,"Av. Caminho de Areia - Caminho de Areia, Salvador"
469,Posto BR,ChIJkwAEK34EFgcRBfG3-h6m3jw,-12.9966117,-38.5269744,3.9,gas_station,"R. da Graça, 59 - Graça, Salvador"
476,Posto Avenida-24 Horas,ChIJJTFHOd8EFgcRC9QpoFYgxdw,-12.9668128,-38.50169,4.4,gas_station,"R. Manoel Caetano, 20 - Barbalho, Salvador"
477,Posto Sol,ChIJTQ-kSs4aFgcRmrQ4MwZ7q7Y,-12.9586948,-38.4772811,4.0,gas_station,"Av. Barros Reis, 1223 - Iapi, Salvador"
478,Micro Posto Rio Vermelho,ChIJs2DnHCwFFgcRcP42LtzG2sI,-12.9622331,-38.4902921,3.7,gas_station,"R. Rodrigo de Menezes, 1 - Baixa de Quintas, Salvador"
495,Br Petrobras,ChIJE3L55B8aFgcRiTB31r610MQ,-12.9631242,-38.4014525,3.5,gas_station,"Av. Octávio Mangabeira, s/n - Itapuã, Salvador"
513,Br,ChIJr1ebm6AEFgcRBDizA9gqhz4,-13.002943,-38.5025452,0.0,gas_station,"R. Eduardo José dos Santos - Engenho Velho da Federacao, Salvador"
523,Posto Petrobrás,ChIJrR84yLQbFgcRslCdPkbbN4E,-12.9789999,-38.4276772,3.5,gas_station,"Av. Octávio Mangabeira, 6094 - Boca do Rio, Salvador"
719,Posto Petrobras,ChIJnZ40_c4FFgcR-ILh7NzXkxM,-12.95536,-38.50008,0.0,gas_station,"Largo da Lapinha, 12 - Liberdade, Salvador"
721,Shell,ChIJD5YAjW0RFgcRHI4Ght366-I,-12.8789639,-38.4318985,3.9,gas_station,"Valeria, Salvador"
727,Brasil gas,ChIJj5mMY5QXFgcRqsK4StkPOtM,-12.9057698,-38.3874016,0.0,gas_station,"Fazenda Grande 4, Salvador"
753,BRASILGAS ALAGOAS GÁS,ChIJ3fYAYkcRFgcREUoySmf_0CM,-12.8854362,-38.4147363,5.0,gas_station,"R. E Cj, 2, R. da Esperança de Cajazeiras, 11, Salvador"
783,Ipiranga,ChIJzxJ3pR4QFgcRYjBKrCnsHkY,-12.9163203,-38.48043910000001,4.1,gas_station,"Lobato, Salvador"
819,Posto Petrobras,ChIJZ2fNVeQRFgcRNzk4BJAGBZQ,-12.86751,-38.47732,4.0,gas_station,"Av. Afrânio Peixoto, S/N - Periperi, Salvador"
827,Posto BR,ChIJU6Jb5xASFgcR4PqrGu8A9i8,-12.8449899,-38.4696311,3.7,gas_station,"Av. Afrânio Peixoto - Paripe, Salvador"
831,Posto Petrobras,ChIJZR3hwhcSFgcR527P2o0sZoI,-12.8894901,-38.482713,3.9,gas_station,"Av. Suburbana, s/n - Itacaranha, Salvador"
